x,y,tau,pvalue
lh_G_oc-temp_med-Lingual,Left-Insula,0.914746961726827000000000000000,0.000000000000000000000000000000
lh_G_oc-temp_lat-fusifor,Left-Caudate,0.895519680754580000000000000000,0.000000000000000000000000000000
lh_G_pariet_inf-Supramar,Fornix,0.868622739091005000000000000000,0.000000000000000000000000000000
lh_G_front_sup,Right-Operculum,0.864320696535461000000000000000,0.000000000000000000000000000000
lh_G_and_S_cingul-Mid-Ant,Left-Cerebral-White-Matter,0.857609287139488000000000000000,0.000000000000000000000000000000
lh_G_front_inf-Triangul,Right-Cerebellum-Cortex,0.853255940504262000000000000000,0.000000000000000000000000000000
lh_G_temporal_middle,Left-Accumbens-area,0.844549247233811000000000000000,0.000000000000000000000000000000
lh_G_rectus,Left-Operculum,0.840014511155450000000000000000,0.000000000000000000000000000000
lh_G_front_inf-Opercular,Right-Cerebellum-Exterior,0.838563395610375000000000000000,0.000000000000000000000000000000
lh_G_front_middle,Right-Insula,0.831307817884999000000000000000,0.000000000000000000000000000000
lh_G_and_S_cingul-Ant,Right-Amygdala,0.830038091783058000000000000000,0.000000000000000000000000000000
lh_G_cuneus,Left-Cerebellum-Cortex,0.814619989116633000000000000000,0.000000000000000000000000000000
lh_G_parietal_sup,Right-Accumbens-area,0.808955189251415000000000000000,0.000000000000000000000000000000
lh_G_temporal_inf,Left-Pallidum,0.806638853618719000000000000000,0.000000000000000000000000000000
lh_S_calcarine,Right-Thalamus-Proper,0.802285506983493000000000000000,0.000000000000000000000000000000
lh_G_pariet_inf-Angular,Left-Putamen,0.794572948057157000000000000000,0.000000000000000000000000000000
lh_G_front_inf-Orbital,Right-Cerebellum-White-Matter,0.787411572646471000000000000000,0.000000000000000000000000000000
lh_G_and_S_cingul-Mid-Post,Right-Putamen,0.783717711263529000000000000000,0.000000000000000000000000000000
lh_G_orbital,Left-Amygdala,0.778523489932885000000000000000,0.000000000000000000000000000000
lh_G_precentral,Right-Pallidum,0.777450231696245000000000000000,0.000000000000000000000000000000
lh_G_temp_sup-Lateral,Right-Substancia-Nigra,0.760021766733176000000000000000,0.000000000000000000000000000000
lh_G_temporal_inf,lh_S_temporal_inf,0.749501179031380000000000000000,0.000000000000000000000000000000
lh_S_oc-temp_lat,Left-Caudate,0.748957010701977000000000000000,0.000000000000000000000000000000
lh_G_oc-temp_lat-fusifor,lh_S_oc-temp_lat,0.743152548521676000000000000000,0.000000000000000000000000000000
lh_S_front_sup,Left-Cerebellum-Exterior,0.733284910952233000000000000000,0.000000000000000000000000000000
lh_G_precuneus,Right-Hippocampus,0.733176129149283000000000000000,0.000000000000000000000000000000
lh_Lat_Fis-post,Fornix,0.732813350263014000000000000000,0.000000000000000000000000000000
lh_S_suborbital,Left-Operculum,0.727734445855251000000000000000,0.000000000000000000000000000000
lh_G_and_S_cingul-Mid-Ant,lh_S_front_sup,0.726868616903457000000000000000,0.000000000000000000000000000000
lh_S_front_inf,Right-Insula,0.726646109196444000000000000000,0.000000000000000000000000000000
Left-Pallidum,Left-Accumbens-area,0.721023036459278000000000000000,0.000000000000000000000000000000
lh_S_temporal_inf,Left-Pallidum,0.717213858153455000000000000000,0.000000000000000000000000000000
lh_G_temporal_middle,lh_S_temporal_inf,0.715581353165245000000000000000,0.000000000000000000000000000000
lh_G_temporal_middle,Left-Pallidum,0.715037184835842000000000000000,0.000000000000000000000000000000
lh_S_front_sup,Left-Cerebral-White-Matter,0.710532451209535000000000000000,0.000000000000000000000000000000
lh_S_temporal_inf,Left-Accumbens-area,0.707781607110466000000000000000,0.000000000000000000000000000000
lh_G_front_middle,lh_S_front_sup,0.706902192166441000000000000000,0.000000000000000000000000000000
lh_G_pariet_inf-Supramar,lh_Lat_Fis-post,0.704095053102587000000000000000,0.000000000000000000000000000000
lh_S_orbital-H_Shaped,Left-Amygdala,0.703246871032105000000000000000,0.000000000000000000000000000000
lh_G_and_S_cingul-Mid-Ant,Left-Cerebellum-Exterior,0.696564249087712000000000000000,0.000000000000000000000000000000
lh_G_postcentral,Right-Caudate,0.693403573764379000000000000000,0.000000000000000000000000000000
lh_S_precentral-inf-part,Left-Cerebellum-Exterior,0.693338263696565000000000000000,0.000000000000000000000000000000
lh_G_temporal_inf,lh_G_temporal_middle,0.692544893887175000000000000000,0.000000000000000000000000000000
lh_G_and_S_paracentral,Right-Cerebral-White-Matter,0.691763428100085000000000000000,0.000000000000000000000000000000
lh_S_parieto_occipital,Left-Cerebellum-Cortex,0.691456557228369000000000000000,0.000000000000000000000000000000
lh_G_front_middle,lh_S_front_inf,0.691093778342100000000000000000,0.000000000000000000000000000000
lh_Pole_occipital,Left-Hippocampus,0.690368007212730000000000000000,0.000000000000000000000000000000
