x,y,score,pvalue,x raw,y raw
rh_G_occipital_middle,rh_S_occipital_ant,0.60722869773564600000,0.00000000000000000000,G_occipital_middle,S_occipital_ant
lh_S_orbital_lateral,lh_S_orbital-H_Shaped,0.60692907672773400000,0.00000000000000000000,S_orbital_lateral,S_orbital-H_Shaped
lh_S_central,lh_S_precentral-sup-part,0.60635957479069600000,0.00000000000000000000,S_central,S_precentral-sup-part
lh_G_postcentral,lh_G_precentral,0.60619813393936500000,0.00000000000000000000,G_postcentral,G_precentral
lh_G_and_S_cingul-Ant,rh_G_and_S_cingul-Ant,0.60402684563758300000,0.00000000000000000000,G_and_S_cingul-Ant,G_and_S_cingul-Ant
lh_S_front_inf,lh_S_front_sup,0.60307678353395800000,0.00000000000000000000,S_front_inf,S_front_sup
lh_G_and_S_subcentral,lh_G_temp_sup-G_T_transv,0.60220418716968500000,0.00000000000000000000,G_and_S_subcentral,G_temp_sup-G_T_transv
lh_G_temp_sup-Lateral,lh_G_temp_sup-Plan_polar,0.60094322510429800000,0.00000000000000000000,G_temp_sup-Lateral,G_temp_sup-Plan_polar
lh_G_and_S_subcentral,lh_G_temp_sup-Plan_tempo,0.59687953801449700000,0.00000000000000000000,G_and_S_subcentral,G_temp_sup-Plan_tempo
lh_G_and_S_cingul-Mid-Ant,lh_G_front_middle,0.59187375294757800000,0.00000000000000000000,G_and_S_cingul-Mid-Ant,G_front_middle
lh_G_front_sup,lh_S_front_sup,0.59055238983528500000,0.00000000000000000000,G_front_sup,S_front_sup
lh_G_and_S_cingul-Mid-Ant,lh_S_front_inf,0.58987846907309900000,0.00000000000000000000,G_and_S_cingul-Mid-Ant,S_front_inf
lh_Lat_Fis-post,lh_S_precentral-inf-part,0.58978320197179600000,0.00000000000000000000,Lat_Fis-post,S_precentral-inf-part
lh_G_temporal_middle,lh_S_oc-temp_lat,0.58842735352802400000,0.00000000000000000000,G_temporal_middle,S_oc-temp_lat
lh_G_occipital_middle,lh_S_oc_sup_and_transversal,0.58821395091783200000,0.00000000000000000000,G_occipital_middle,S_oc_sup_and_transversal
lh_G_and_S_cingul-Mid-Ant,lh_G_and_S_cingul-Mid-Post,0.58764818260081000000,0.00000000000000000000,G_and_S_cingul-Mid-Ant,G_and_S_cingul-Mid-Post
rh_G_temp_sup-Lateral,rh_S_temporal_sup,0.58697623798294900000,0.00000000000000000000,G_temp_sup-Lateral,S_temporal_sup
lh_G_cingul-Post-dorsal,lh_S_subparietal,0.58678398656434500000,0.00000000000000000000,G_cingul-Post-dorsal,S_subparietal
rh_G_occipital_middle,rh_S_oc_sup_and_transversal,0.58667646619657800000,0.00000000000000000000,G_occipital_middle,S_oc_sup_and_transversal
lh_G_front_inf-Opercular,lh_S_circular_insula_sup,0.58570651188100800000,0.00000000000000000000,G_front_inf-Opercular,S_circular_insula_sup
lh_G_orbital,lh_G_rectus,0.58226011246145400000,0.00000000000000000000,G_orbital,G_rectus
lh_G_oc-temp_lat-fusifor,lh_S_oc-temp_med_and_Lingual,0.58153455468891700000,0.00000000000000000000,G_oc-temp_lat-fusifor,S_oc-temp_med_and_Lingual
rh_S_oc_middle_and_Lunatus,rh_S_occipital_ant,0.58056917746677700000,0.00000000000000000000,S_oc_middle_and_Lunatus,S_occipital_ant
lh_S_oc-temp_lat,lh_S_oc-temp_med_and_Lingual,0.58044621803011000000,0.00000000000000000000,S_oc-temp_lat,S_oc-temp_med_and_Lingual
lh_G_oc-temp_med-Lingual,lh_S_collat_transv_post,0.57925360947949300000,0.00000000000000000000,G_oc-temp_med-Lingual,S_collat_transv_post
rh_G_pariet_inf-Angular,rh_S_intrapariet_and_P_trans,0.57771328032591100000,0.00000000000000000000,G_pariet_inf-Angular,S_intrapariet_and_P_trans
lh_G_precentral,lh_S_precentral-inf-part,0.57770319171526900000,0.00000000000000000000,G_precentral,S_precentral-inf-part
