lharea,lhhighaverage,lhlowaverage,lhaverage,lhhighstd,lhlowstd,rharea,rhhighaverage,rhlowaverage,rhaverage,rhhighstd,rhlowstd,area
ctx_lh_S_front_sup,5.631492127,6.155897368,5.893694747,0.649839587,0.715711940,ctx_rh_S_front_sup,2.4181543887,1.932697359,2.175425874,0.2092044534,0.2143979992,S_front_sup
ctx_lh_S_interm_prim-Jensen,2.216415709,1.882454898,2.049435303,0.251613244,0.286624818,ctx_rh_S_interm_prim-Jensen,2.3940405331,1.876600206,2.135320370,0.3654129568,0.262951267,S_interm_prim-Jensen
ctx_lh_S_intrapariet_and_P_trans,5.239420338,5.268882511,5.254151424,0.604640646,0.706889113,ctx_rh_S_intrapariet_and_P_trans,1.8484799193,1.552761341,1.700620630,0.1816677891,0.1470918472,S_intrapariet_and_P_trans
ctx_lh_S_oc_middle_and_Lunatus,2.518277841,2.780193023,2.649235432,0.290393295,0.615416186,ctx_rh_S_oc_middle_and_Lunatus,0.8777442941,0.956481695,0.917112995,0.1217425678,0.1187265736,S_oc_middle_and_Lunatus
ctx_lh_S_oc_sup_and_transversal,7.834587526,5.333614097,6.584100812,0.903767825,0.862716082,ctx_rh_S_oc_sup_and_transversal,0.9098585395,1.173337954,1.041598246,0.1036224823,0.1504793817,S_oc_sup_and_transversal
ctx_lh_S_occipital_ant,1.694538272,1.488433605,1.591485939,0.195476144,0.184061345,ctx_rh_S_occipital_ant,2.9532837647,3.030842825,2.992063295,0.4700254368,0.3189629289,S_occipital_ant
ctx_lh_S_oc-temp_lat,5.729989139,4.464259296,5.097124218,0.661605412,0.555527936,ctx_rh_S_oc-temp_lat,2.4840708280,2.592521490,2.538296159,0.2257179786,0.2551328156,S_oc-temp_lat
ctx_lh_S_oc-temp_med_and_Lingual,5.973323289,6.883359841,6.428341565,0.689385509,0.536691572,ctx_rh_S_oc-temp_med_and_Lingual,2.1025407363,1.817704744,1.960122740,0.2006391462,0.160392061,S_oc-temp_med_and_Lingual
ctx_lh_S_orbital_lateral,7.831551981,9.534434338,8.682993159,0.900308830,0.964454283,ctx_rh_S_orbital_lateral,2.3184335754,2.135141482,2.226787529,0.2336157169,0.1877484355,S_orbital_lateral
ctx_lh_S_orbital_med-olfact,3.789044098,6.333040539,5.061042319,0.436390477,0.749391033,ctx_rh_S_orbital_med-olfact,1.5981227350,1.548365954,1.573244344,0.1427298528,0.1604356844,S_orbital_med-olfact
ctx_lh_S_orbital-H_Shaped,8.209432846,12.608480197,10.408956522,0.947535605,1.041506546,ctx_rh_S_orbital-H_Shaped,1.9548375025,1.641446641,1.798142072,0.2016686112,0.1867211301,S_orbital-H_Shaped
ctx_lh_S_parieto_occipital,8.992839559,8.322161682,8.657500620,0.997004265,1.151639696,ctx_rh_S_parieto_occipital,1.3600897848,1.306808176,1.333448981,0.1360852507,0.1544957772,S_parieto_occipital
ctx_lh_S_pericallosal,2.492401737,4.144307009,3.318354373,0.285434281,0.273141974,ctx_rh_S_pericallosal,2.2726224351,2.473722200,2.373172318,0.1532191406,0.1673481174,S_pericallosal
ctx_lh_S_postcentral,3.369390786,4.342592512,3.855991649,0.333171800,0.348705464,ctx_rh_S_postcentral,3.8385775270,3.203236433,3.520906980,0.405699901,0.2927492268,S_postcentral
ctx_lh_S_precentral-inf-part,6.664355865,8.466687939,7.565521902,0.724736486,0.842203212,ctx_rh_S_precentral-inf-part,3.7389288685,3.450900850,3.594914859,0.3814467902,0.3395710724,S_precentral-inf-part
ctx_lh_S_precentral-sup-part,4.073495204,3.357598604,3.715546904,0.450093680,0.520701454,ctx_rh_S_precentral-sup-part,4.8047550673,4.280795043,4.542775055,0.4238228484,0.402021367,S_precentral-sup-part
ctx_lh_S_suborbital,3.637798686,5.186014364,4.411906525,0.419568888,0.375958686,ctx_rh_S_suborbital,2.0175627183,2.338258766,2.177910742,0.2210751406,0.1927834152,S_suborbital
ctx_lh_S_subparietal,5.166100578,5.036738531,5.101419555,0.595680639,0.760096345,ctx_rh_S_subparietal,2.0092878966,2.207552082,2.108419989,0.2567274456,0.2879159008,S_subparietal
ctx_lh_S_temporal_inf,4.008566911,3.209517233,3.609042072,0.462794484,0.386778263,ctx_rh_S_temporal_inf,2.8631165311,2.853380002,2.858248267,0.2541316593,0.2200063234,S_temporal_inf
ctx_lh_S_temporal_sup,2.887936726,3.948163013,3.418049870,0.333465552,0.313893509,ctx_rh_S_temporal_sup,2.7511110716,2.508337917,2.629724495,0.1744514649,0.1553456493,S_temporal_sup
ctx_lh_S_temporal_transverse,7.216529258,6.060464343,6.638496801,0.831280508,0.553876280,ctx_rh_S_temporal_transverse,2.4914741835,2.200898410,2.346186297,0.2446604192,0.3135975676,S_temporal_transverse
